idx	year	ar049.txt	ar050.txt	ar052.txt	ar053.txt	az082.txt	az086.txt	az510.txt	az550.txt	ca065.txt	ca073.txt	ca084.txt	ca087.txt	ca528.txt	ca529.txt	ca530.txt	ca531.txt	ca532.txt	ca533.txt	ca534.txt	ca535.txt	ca555.txt	co067.txt	co076.txt	co509.txt	co509x.txt	co511.txt	co522.txt	co523.txt	co524.txt	co525.txt	co535.txt	co545.txt	co547.txt	ga002.txt	ga003.txt	ga004.txt	la001.txt	mt006.txt	nc008.txt	nm025.txt	nm026.txt	nm559.txt	nm560.txt	nm572.txt	nv037.txt	nv049.txt	nv053.txt	nv056.txt	nv060.txt	nv061.txt	nv510.txt	nv511.txt	nv512.txt	nv513.txt	nv514.txt	nv515.txt	nv516.txt	nv517.txt	or009.txt	or012.txt	or015.txt	sd017.txt	ut023.txt	ut508.txt	ut509.txt	va021.txt	wy005b.txt	wy006.txt	wy023.txt	wy023x.txt
1	1400	0.602	0.019	1.082	0.563	0.769	0.245	1.112	0.698	1.195	1.103	1.257	0.875	0.712	0.806	1.013	0.702	0.809	1.289	0.808	1.082	1.055	0.749	0.681	0.768	1.033	0.64	1.158	0.845	0.866	0.938	0.777	0.816	0.883	0.992	1.243	0.949	0.955	1.039	1.815	0.355	0.707	1.32	1.048	1.127	0.704	0.438	0.521	0.75	1.054	1.222	0.962	0.821	0.961	0.908	0.689	0.782	0.677	0.601	0.879	0.223	0.826	0.64	0.832	0.574	0.765	0.638	0.959	1.607	1.271	1.019
2	1401	1.104	0.552	1.563	0.676	0.71	0.617	1.105	0.747	0.901	0.962	0.901	0.819	0.847	0.952	0.941	0.931	0.927	0.864	0.856	1.065	0.824	1.121	0.469	0.863	0.98	0.814	1.288	0.99	0.972	1.058	0.799	0.798	1.105	0.762	0.868	0.71	0.786	1.934	0.674	0.355	0.783	1.099	0.985	0.995	0.836	0.513	0.578	0.62	1.177	0.733	1.08	0.828	1.066	0.969	0.997	0.873	0.928	0.997	1.36	2.146	1.673	0.37	0.729	0.705	1.108	0.114	0.621	1.918	1.099	1.058
3	1402	1.647	0.713	1.589	1.059	0.746	0.489	1.212	0.887	1.005	0.886	1.179	0.718	0.789	1.099	1.217	0.816	0.858	1.297	1.279	1.304	0.893	0.848	0.638	0.803	1.004	0.906	1.479	0.973	1.131	1.054	0.941	1.198	1.077	1.144	1.276	0.97	0.891	1.135	0.437	0.435	1.134	1.101	1.03	1.024	1.148	0.49	0.907	0.852	0.847	0.391	1.188	1.106	1.212	1.033	0.928	0.925	1.047	0.986	1.444	1.662	1.241	0.644	0.733	0.603	0.831	0.861	1.218	2.126	1.29	1.059
4	1403	1.592	1.144	0.986	1.223	0.876	0.628	1.111	1.214	0.595	0.805	0.9	0.83	0.889	1.128	1.146	1.049	1.082	1.24	1.105	1.244	0.845	1.262	0.501	0.93	0.985	0.724	1.597	1.05	1.163	1.112	0.982	1.188	1.246	0.663	1.017	0.634	1.001	0.927	1.376	0.435	0.39	0.828	0.845	0.71	0.897	0.652	0.675	0.644	0.989	0.387	1.352	0.784	1.106	1.193	0.727	0.784	0.872	1.011	1.195	1.763	1.373	0.689	0.68	0.441	0.669	0.909	1.683	1.969	1.731	0.989
5	1404	1.394	1.341	1.346	1.296	1.017	1.273	1.216	1.206	0.914	1.322	1.317	0.892	0.712	0.902	0.822	0.865	1.037	1.236	1.075	1.188	0.757	1.76	1.331	1.231	1.024	1.098	1.466	1.032	1.089	1.077	1.067	1.435	1.401	0.925	0.868	1.057	1.221	1.446	1.148	0.673	1.478	1.082	1.146	1.239	1.06	1.123	1.118	1.009	1.181	1.254	0.876	0.873	1.112	1.184	0.791	0.769	0.604	0.479	0.846	2.107	1.259	0.893	1.397	0.826	0.809	0.898	1.838	2.746	1.768	1.048
6	1405	1.623	1.436	1.36	0.996	1.048	0.859	1.067	1.326	0.841	1.843	0.953	0.944	0.764	0.66	1.237	0.518	0.694	1.412	1.113	1.185	0.966	1.736	0.949	1.253	1.04	1.138	1.492	0.988	1.064	1.049	0.939	0.897	1.129	0.744	0.801	0.711	0.975	2.048	1.045	0.435	1.087	0.429	0.29	0.777	1.511	0.78	0.995	1.357	0.769	1.77	1.18	0.931	1.191	1.102	0.85	1.416	1.162	0.876	1.251	2.276	1.552	0.964	1.143	0.843	0.408	0.892	1.999	2.021	1.316	1.029
7	1406	1.75	1.45	1.463	1.335	1.129	1.276	1.032	1.122	0.946	1.058	0.931	0.93	1.08	1.303	1.362	1.095	1.119	1.405	1.412	1.398	1.171	1.291	1.243	1.429	0.957	1.166	1.156	0.986	0.968	1.049	1.197	1.25	1.24	0.876	0.984	0.914	0.848	1.308	1.575	0.356	1.811	1.618	1.665	1.196	2.003	1.156	1.185	1.157	0.923	0.595	1.185	1.156	1.296	1.326	1.117	1.639	1.489	1.477	0.924	0.991	0.803	0.667	1.481	1.167	1.204	0.644	2.012	2.745	1.524	1.037
8	1407	1.818	1.908	1.288	1.293	1.147	0.429	1.195	0.66	1.051	0.995	0.717	0.755	0.802	0.885	1.2	0.743	1.028	1.061	1.287	0.856	1.12	0.957	0.948	1.152	0.987	0.964	1.225	0.978	0.81	0.847	0.862	1.17	1.051	0.509	0.18	0.599	0.853	0.518	0.349	0.151	1.279	1.065	0.75	0.798	1.16	0.736	0.447	1.051	0.742	0.476	1.052	0.853	1.203	1.19	1.041	1.113	0.739	1.113	0.711	0.253	0.43	0.37	1.237	0.645	0.82	0.808	1.743	1.243	1.033	1.031
9	1408	1.382	1.572	1.186	1.245	0.851	0.99	1.091	1.494	0.406	1.29	1.06	0.751	0.841	0.839	1.345	0.725	0.835	1.131	1.265	1.095	1.121	1.191	0.794	0.876	0.991	0.848	0.999	0.897	0.666	0.769	0.902	0.807	0.829	0.911	1.174	0.868	1.201	1.354	1.576	0.243	1.809	1.22	1.093	0.918	0.959	1.501	1.16	1.31	0.869	1.495	1.029	0.867	1.022	1.201	0.889	0.894	0.824	1.075	1.078	0.541	0.374	0.37	0.948	0.969	1.02	0.547	1.294	2.745	0.778	1.012
10	1409	0.952	1.22	0.739	1.237	1.104	1.377	1.051	1.23	0.526	1.015	0.909	0.898	0.944	0.981	1.307	0.861	0.917	1.283	1.385	1.184	1.023	1.22	1.412	1.203	0.98	0.996	1.308	1.12	1.055	1.149	1.165	1.326	1.247	0.562	0.493	0.722	1.254	1.052	0.578	1.083	2.217	1.503	1.384	1.523	1.515	1.281	1.128	1.178	0.923	1.355	1.169	0.922	1.262	1.118	1.169	1.601	1.267	1.107	0.865	0.625	0.506	0.713	1.09	0.996	0.962	0.565	1.408	2.433	1.513	1.039
