id	name
10175	Active Directory
8372	Active Directory Application Mode (ADAM)
10530	Active Directory Federation Services 1.x
10531	Active Directory Federation Services 2.0
10532	Active Directory Federation Services 2.1
10640	Active Directory Federation Services 3.0
9317	Active Directory Lightweight Directory Service (AD LDS)
6481	Active Directory Services
10642	ASP.NET MVC 2.0
10643	ASP.NET MVC 3.0
10644	ASP.NET MVC 4.0
10645	ASP.NET MVC 5.0
10646	ASP.NET MVC 5.1
10570	ASP.NET SignalR 1.0.0
10571	ASP.NET SignalR 1.0.1
10572	ASP.NET SignalR 1.1.x
10573	ASP.NET SignalR 2.0.x
9171	Excel Services
10002	FAST ESP 5.2
10003	FAST ESP 5.3
10337	FAST Search Server 2010 for Internal Applications
10338	FAST Search Server 2010 for Internet Business
10340	FAST Search Server 2010 for SharePoint Internet Sites
10341	FAST Search Server 2010 for SharePoint Service Pack 1
10081	Forefront Online Protection for Exchange
10578	Forefront Protection 2010 for Exchange Server
10463	iSCSI Software Target 3.3
9158	JScript 5.7
9343	JScript 5.8
5257	Microsoft .NET Framework 1.0 Service Pack 3
3899	Microsoft .NET Framework 1.1 Service Pack 1
9292	Microsoft .NET Framework 2.0 Service Pack 2
9195	Microsoft .NET Framework 3.0 Service Pack 2
9195	Microsoft .NET Framework 3.0 Service Pack 2 
9195	Microsoft .NET Framework 3.0 Service Pack 2 when installed
2472	Microsoft .NET Framework 3.5
7683	Microsoft .NET Framework 3.5 Service Pack 1
7683	Microsoft .NET Framework 3.5 Service Pack 1 when installed
9495	Microsoft .NET Framework 3.5.1
4937	Microsoft .NET Framework 4
4937	Microsoft .NET Framework 4 when installed
10310	Microsoft .NET Framework 4.5
10310	Microsoft .NET Framework 4.5 when installed
10579	Microsoft .NET Framework 4.5.1
10579	Microsoft .NET Framework 4.5.1 when installed
10638	Microsoft .NET Framework 4.5.1/4.5.2
10636	Microsoft .NET Framework 4.5.2
10638	Microsoft .NET Framework 4.5/4.5.1/4.5.2
10545	Microsoft Business Productivity Servers
7097	Microsoft Commerce Server 2002 Service Pack 4
4134	Microsoft Commerce Server 2007 Service Pack 2
350	Microsoft Commerce Server 2009
10234	Microsoft Commerce Server 2009 R2
10064	Microsoft Communications Server 2007
10065	Microsoft Communications Server 2007 R2
10298	Microsoft Communications Server 2007 Speech Server
10072	Microsoft Communicator 2005
10288	Microsoft Communicator 2005 Web Access
10073	Microsoft Communicator 2007
10074	Microsoft Communicator 2007 R2
10291	Microsoft Communicator 2007 R2 Attendant
10292	Microsoft Communicator 2007 R2 Group Chat Admin
10293	Microsoft Communicator 2007 R2 Group Chat Client
10289	Microsoft Communicator 2007 Web Access
10029	Microsoft Communicator for Mac 2011
10076	Microsoft Communicator Mobile
10075	Microsoft Communicator Phone Edition
4513	Microsoft Data Access Components 2.8 Service Pack 1
6004	Microsoft Data Access Components 2.8 Service Pack 2
9285	Microsoft Data Engine (MSDE) 1.0
9347	Microsoft Data Engine (MSDE) 1.0 Service Pack 4
4028	Microsoft Data Engine 1.0
3579	Microsoft Dynamics AX 2009 Service Pack 1
10163	Microsoft Dynamics AX 2012
10576	Microsoft Dynamics AX 2012 R2
4667	Microsoft Dynamics AX 3.0 Service Pack 4
7447	Microsoft Dynamics AX 3.0 Service Pack 5
