gini	state	coef	convictions	pop	rate
45	Alabama	0.472	264	"4,779,736"	5.523317606
2	Alaska	0.422	45	"710,231"	6.335966749
27	Arizona	0.455	222	"6,392,017"	3.473082127
30	Arkansas	0.458	107	"2,915,918"	3.66951334
44	California	0.471	690	"37,253,956"	1.852152292
29	Colorado	0.457	72	"5,029,196"	1.431640366
49	Connecticut	0.486	91	"3,574,097"	2.546097658
13	Delaware	0.44	36	"897,934"	4.009203349
46	Florida	0.474	628	"18,801,310"	3.340192784
40	Georgia	0.468	256	"9,687,653"	2.64253891
8	Hawaii	0.433	36	"1,360,301"	2.646473097
8	Idaho	0.433	21	"1,567,582"	1.339642838
37	Illinois	0.465	507	"12,830,632"	3.951481112
13	Indiana	0.44	166	"6,483,802"	2.560226238
5	Iowa	0.427	57	"3,046,355"	1.871088563
20	Kansas	0.445	41	"2,853,118"	1.437024336
38	Kentucky	0.466	307	"4,339,367"	7.074764591
47	Louisiana	0.475	425	"4,533,372"	9.374920037
12	Maine	0.437	38	"1,328,361"	2.860668147
18	Maryland	0.443	290	"5,773,552"	5.022904444
47	Massachusetts	0.475	217	"6,547,629"	3.314176781
23	Michigan	0.451	235	"9,883,640"	2.377666528
13	Minnesota	0.44	58	"5,303,925"	1.093529792
40	Mississippi	0.468	150	"2,967,297"	5.055105707
27	Missouri	0.455	196	"5,988,927"	3.272706446
11	Montana	0.435	50	"989,415"	5.053491204
7	Nebraska	0.432	30	"1,826,341"	1.642628622
21	Nevada	0.448	36	"2,700,551"	1.33306129
4	New Hampshire	0.425	11	"1,316,470"	0.835567844
34	New Jersey	0.464	428	"8,791,894"	4.868120567
34	New Mexico	0.464	49	"2,059,179"	2.379589147
50	New York	0.499	548	"19,378,102"	2.827934335
34	North Carolina	0.464	169	"9,535,483"	1.772327631
8	North Dakota	0.433	52	"672,591"	7.73129584
25	Ohio	0.452	450	"11,536,504"	3.90066176
26	Oklahoma	0.454	164	"3,751,351"	4.371758335
22	Oregon	0.449	42	"3,831,074"	1.096298323
32	Pennsylvania	0.461	493	"12,702,379"	3.881162733
39	Rhode Island	0.467	25	"1,052,567"	2.375145715
32	South Carolina	0.461	53	"4,625,364"	1.145855764
17	South Dakota	0.442	70	"814,180"	8.597607409
40	Tennessee	0.468	270	"6,346,105"	4.254578202
43	Texas	0.469	775	"25,145,561"	3.08205492
1	Utah	0.419	31	"2,763,885"	1.121609618
19	Vermont	0.444	21	"625,741"	3.356021101
31	Virginia	0.459	456	"8,001,024"	5.699270493
16	Washington	0.441	82	"6,724,540"	1.219414265
23	West Virginia	0.451	77	"1,852,994"	4.155437093
6	Wisconsin	0.43	118	"5,686,986"	2.074912792
3	Wyoming	0.423	24	"563,626"	4.258142811
