gini	state	coef	exec_ill	legis_ill	judicial_ill	exec_legal	legis_legal	judicial_legal	total	rawrank	rank
47	Massachusetts	0.475	1	1	1	1	1	1	1.00	1	1.0
19	Vermont	0.444	1	1	1	2	1	1	1.17	2	2.0
23	Michigan	0.451	1	2	1	1	2	1	1.33	3	4.0
8	North Dakota	0.433	1	1	1	2	2	1	1.33	4	4.0
22	Oregon	0.449	1	2	1	1	2	1	1.33	5	4.0
8	Idaho	0.433	1	1	1	2.5	2.5	1	1.50	6	6.0
17	South Dakota	0.442	1	1	1.5	2	3	1	1.58	7	7.5
3	Wyoming	0.423	2	1.5	1	2	2	1	1.58	8	7.5
5	Iowa	0.427	2	2	1	2	2	1	1.67	9	10.0
7	Nebraska	0.432	2	2	1	2	2	1	1.67	10	10.0
4	New Hampshire	0.425	1	1	1	3	3	1	1.67	11	10.0
12	Maine	0.437	1	1	1	3.5	3	1	1.75	12	12.5
13	Minnesota	0.440	2	2.5	1	2	2	1	1.75	13	12.5
29	Colorado	0.457	2	2	1	2	3	2	2.00	14	15.0
8	Hawaii	0.433	1.5	2	1	3	3.5	1	2.00	15	15.0
31	Virginia	0.459	2	2	1	3	3	1	2.00	16	15.0
40	Tennessee	0.468	2	2	2	2.25	2.5	2	2.13	17	17.0
13	Delaware	0.440	2	2	1	3	3	2	2.17	18	18.5
16	Washington	0.441	1.5	2	1.5	3	3	2	2.17	19	18.5
18	Maryland	0.443	1.5	2	1	3.5	4	1.5	2.25	20	20.0
34	North Carolina	0.464	2	2	1	4	4	1	2.33	21	21.5
1	Utah	0.419	3.5	2.5	1	3	3	1	2.33	22	22.0
2	Alaska	0.422	2	2	1	3	3.5	3	2.42	23	23.0
30	Arkansas	0.458	2	2.5	2	2	3.5	3	2.50	24	25.5
11	Montana	0.435	2	3	1	3	5	1	2.50	25	25.5
26	Oklahoma	0.454	2.5	3	1	3.5	4	1	2.50	26	25.5
23	West Virginia	0.451	2	2.5	2	3	3	2.5	2.50	27	25.5
49	Connecticut	0.486	3	3	1.5	4	3	1	2.58	28	28.5
25	Ohio	0.452	2	3	1	3.5	4	2	2.58	29	28.5
27	Missouri	0.455		3	1	3	4	2	2.60	30	30.0
20	Kansas	0.445	2	2	2	4	4	2	2.67	31	32.5
39	Rhode Island	0.467	2	4	2	2	4	2	2.67	32	32.5
32	South Carolina	0.461	2	3.5	1	3.5	4.5	1.5	2.67	33	32.5
6	Wisconsin	0.430	2.5	2	1	3.5	4.5	2.5	2.67	34	32.5
13	Indiana	0.440	3	4	1	3.5	4	1.5	2.83	35	35.5
43	Texas	0.469	3	3	2	4	3	2	2.83	36	35.5
46	Florida	0.474	3	4	1	4	4	2	3.00	37	38.0
21	Nevada	0.448	2	2	2	3	5	4	3.00	38	38.0
50	New York	0.499	2	4	1	4	5	2	3.00	39	38.0
27	Arizona	0.455	4	4	2	3	4	2	3.17	40	42.0
44	California	0.471	3	4	2.5	3.5	4	2	3.17	41	42.0
40	Georgia	0.468	3.5	3	2	4	4	2.5	3.17	42	42.0
40	Mississippi	0.468	2.5	3	2	4	4.5	3	3.17	43	42.0
32	Pennsylvania	0.461	2.5	4	2	3	4.5	3	3.17	44	42.0
34	New Mexico	0.464	3	3.5	2	4	4	3	3.25	45	45.0
45	Alabama	0.472	3	4	2	3	5	3	3.33	46	46.0
34	New Jersey	0.464	4	3.5	1.5	5	5	1.5	3.42	47	47.0
37	Illinois	0.465	3	4	2	4	5	3	3.50	48	48.0
38	Kentucky	0.466	3.5	4	2	5	5	3	3.75	49	48.0
