state	gini	grank	pop	prank	popdens	pdrank
Alabama	0.472	45	"4,779,736"	28	94.4	24
Alaska	0.422	2	"710,231"	4	1.2	1
Arizona	0.455	27	"6,392,017"	35	56.3	18
Arkansas	0.458	30	"2,915,918"	19	56	17
California	0.471	44	"37,253,956"	50	239.1	40
Colorado	0.457	29	"5,029,196"	29	48.5	14
Connecticut	0.486	49	"3,574,097"	22	738.1	47
Delaware	0.44	13	"897,934"	6	460.8	45
Florida	0.474	46	"18,801,310"	47	350.6	43
Georgia	0.468	40	"9,687,653"	42	168.4	33
Hawaii	0.433	8	"1,360,301"	11	211.8	38
Idaho	0.433	9	"1,567,582"	12	19	7
Illinois	0.465	37	"12,830,632"	46	231.1	39
Indiana	0.44	14	"6,483,802"	36	181	35
Iowa	0.427	5	"3,046,355"	21	54.5	15
Kansas	0.445	20	"2,853,118"	18	34.9	11
Kentucky	0.466	38	"4,339,367"	25	109.9	29
Louisiana	0.475	47	"4,533,372"	26	104.9	27
Maine	0.437	12	"1,328,361"	10	43.1	13
Maryland	0.443	18	"5,773,552"	32	594.8	46
Massachusetts	0.475	48	"6,547,629"	37	839.4	48
Michigan	0.451	23	"9,883,640"	43	174.8	34
Minnesota	0.44	15	"5,303,925"	30	66.6	20
Mississippi	0.468	41	"2,967,297"	20	63.2	19
Missouri	0.455	28	"5,988,927"	33	87.1	23
Montana	0.435	11	"989,415"	7	6.8	3
Nebraska	0.432	7	"1,826,341"	13	23.8	8
Nevada	0.448	21	"2,700,551"	16	24.6	9
New Hampshire	0.425	4	"1,316,470"	9	147	30
New Jersey	0.464	34	"8,791,894"	40	"1,195.50"	50
New Mexico	0.464	35	"2,059,179"	15	17	6
New York	0.499	50	"19,378,102"	48	411.2	44
North Carolina	0.464	36	"9,535,483"	41	196.1	36
North Dakota	0.433	10	"672,591"	3	9.7	4
Ohio	0.452	25	"11,536,504"	44	282.3	41
Oklahoma	0.454	26	"3,751,351"	23	54.7	16
Oregon	0.449	22	"3,831,074"	24	39.9	12
Pennsylvania	0.461	32	"12,702,379"	45	283.9	42
Rhode Island	0.467	39	"1,052,567"	8	"1,018.10"	49
South Carolina	0.461	33	"4,625,364"	27	153.9	31
South Dakota	0.442	17	"814,180"	5	10.7	5
Tennessee	0.468	42	"6,346,105"	34	153.9	32
Texas	0.469	43	"25,145,561"	49	96.3	25
Utah	0.419	1	"2,763,885"	17	33.6	10
Vermont	0.444	19	"625,741"	2	67.9	21
Virginia	0.459	31	"8,001,024"	39	202.6	37
Washington	0.441	16	"6,724,540"	38	101.2	26
West Virginia	0.451	24	"1,852,994"	14	77.1	22
Wisconsin	0.43	6	"5,686,986"	31	105	28
Wyoming	0.423	3	"563,626"	1	5.8	2
