state	gini	survey	convictions	pop	popden	reg
Alabama	0.472	3.33	264	4779736	94.40	35.3842
Alaska	0.422	2.42	45	710231	1.20	25.6039
Arizona	0.455	3.17	222	6392017	56.30	15.2986
Arkansas	0.458	2.5	107	2915918	56.00	38.554
California	0.471	3.17	690	37253956	239.10	67.3357
Colorado	0.457	2	72	5029196	48.50	22.9994
Connecticut	0.486	2.58	91	3574097	738.10	31.191
Delaware	0.44	2.17	36	897934	460.80	0.5125
Florida	0.474	3	628	18801310	350.60	30.8537
Georgia	0.468	3.17	256	9687653	168.40	17.4759
Hawaii	0.433	2	36	1360301	211.80	38.6255
Idaho	0.433	1.5	21	1567582	19.00	4.8697
Illinois	0.465	3.5	507	12830632	231.10	41.4874
Indiana	0.44	2.83	166	6483802	181.00	0.4658
Iowa	0.427	1.67	57	3046355	54.50	0.5457
Kansas	0.445	2.67	41	2853118	34.90	7.2294
Kentucky	0.466	3.75	307	4339367	109.90	31.7659
Louisiana	0.475	3.5	425	4533372	104.90	48.4932
Maine	0.437	1.75	38	1328361	43.10	23.8906
Maryland	0.443	2.25	290	5773552	594.80	45.9638
Massachusetts	0.475	1	217	6547629	839.40	34.0226
Michigan	0.451	1.33	235	9883640	174.80	20.4201
Minnesota	0.44	1.75	58	5303925	66.60	19.3798
Mississippi	0.468	3.17	150	2967297	63.20	46.1329
Missouri	0.455	2.6	196	5988927	87.10	24.0348
Montana	0.435	2.5	50	989415	6.80	33.0146
Nebraska	0.432	1.67	30	1826341	23.80	3.2973
Nevada	0.448	3	36	2700551	24.60	21.6054
New Hampshire	0.425	1.67	11	1316470	147.00	24.4159
New Jersey	0.464	3.42	428	8791894	1195.50	56.2993
New Mexico	0.464	3.25	49	2059179	17.00	36.605
New York	0.499	3	548	19378102	411.20	51.6694
North Carolina	0.464	2.33	169	9535483	196.10	16.3307
North Dakota	0.433	1.33	52	672591	9.70	2.433
Ohio	0.452	2.58	450	11536504	282.30	22.1559
Oklahoma	0.454	2.5	164	3751351	54.70	18.6122
Oregon	0.449	1.33	42	3831074	39.90	27.0629
Pennsylvania	0.461	3.17	493	12702379	283.90	27.3722
Rhode Island	0.467	2.67	25	1052567	1018.10	45.55
South Carolina	0.461	2.67	53	4625364	153.90	23.208
South Dakota	0.442	1.58	70	814180	10.70	4.0262
Tennessee	0.468	2.13	270	6346105	153.90	11.3877
Texas	0.469	2.83	775	25145561	96.30	23.4318
Utah	0.419	2.33	31	2763885	33.60	4.5657
Vermont	0.444	1.17	21	625741	67.90	26.9809
Virginia	0.459	2	456	8001024	202.60	6.7423
Washington	0.441	2.17	82	6724540	101.20	35.1672
West Virginia	0.451	2.5	77	1852994	77.10	59.7339
Wisconsin	0.43	2.67	118	5686986	105.00	17.1577
Wyoming	0.423	1.58	24	563626	5.80	7.9654
