state	gini	reg	survey	ave																																															
Alabama	45	38	46	42																																															
Alaska	2	28	23	25.5																																															
Arizona	27	13	42	27.5																																															
Arkansas	30	40	25.5	32.75																																															
California	44	50	42	46																																															
Colorado	29	22	15	18.5																																															
Connecticut	49	33	28.5	30.75																																															
Delaware	13	2	18.5	10.25																																															
Florida	46	32	38	35																																															
Georgia	40	16	42	29																																															
Hawaii	8	41	15	28																																															
Idaho	8	8	6	7																																															
Illinois	37	42	48	45																																															
Indiana	13	1	35.5	18.25																																															
Iowa	5	3	10	6.5																																															
Kansas	20	10	32.5	21.25																																															
Kentucky	38	34	48	41																																															
Louisiana	47	46	15	30.5																																															
Maine	12	25	12.5	18.75																																															
Maryland	18	44	20	32																																															
Massachusetts	47	36	1	18.5																																															
Michigan	23	19	4	11.5																																															
Minnesota	13	18	12.5	15.25																																															
Mississippi	40	45	42	43.5																																															
Missouri	27	26	30	28																																															
Montana	11	35	25.5	30.25																																															
Nebraska	7	5	10	7.5																																															
Nevada	21	20	38	29																																															
New Hampshire	4	27	10	18.5																																															
New Jersey	34	48	47	47.5																																															
New Mexico	34	39	45	42																																															
New York	50	47	38	42.5																																															
North Carolina	34	14	21.5	17.75																																															
North Dakota	8	4	4	4																																															
Ohio	25	21	28.5	24.75																																															
Oklahoma	26	17	25.5	21.25																																															
Oregon	22	30	4	17																																															
Pennsylvania	32	31	42	36.5																																															
Rhode Island	39	43	32.5	37.75																																															
South Carolina	32	23	32.5	27.75																																															
South Dakota	17	6	7.5	6.75																																															
Tennessee	40	12	17	14.5																																															
Texas	43	24	35.5	29.75																																															
Utah	1	7	22	14.5																																															
Vermont	19	29	2	15.5																																															
Virginia	31	9	15	12																																															
Washington	16	37	18.5	27.75																																															
West Virginia	23	49	25.5	37.25																																															
Wisconsin	6	15	32.5	23.75																																															
Wyoming	3	11	7.5	9.25																																															
