fips	state	year	president	vice	party	votes	votespc	ev	split
1	Alabama	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"795,696"	38.36%	0	-0.2219
1	Alabama	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,255,925"	60.55%	9	-9.9999
2	Alaska	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"122,640"	40.81%	0	-0.1399
2	Alaska	2012	Willard Mitt Romney	Paul Ryan	Republican	"164,676"	54.80%	3	-9.9999
4	Arizona	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,025,232"	44.45%	0	-0.0903
4	Arizona	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,233,654"	53.48%	11	-9.9999
5	Arkansas	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"394,409"	36.88%	0	-0.2369
5	Arkansas	2012	Willard Mitt Romney	Paul Ryan	Republican	"647,744"	60.57%	6	-9.9999
6	California	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"7,854,285"	60.16%	55	0.2309
6	California	2012	Willard Mitt Romney	Paul Ryan	Republican	"4,839,958"	37.07%	0	-9.9999
8	Colorado	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"1,323,102"	51.45%	9	0.0536
8	Colorado	2012	Willard Mitt Romney	Paul Ryan	Republican	"1,185,243"	46.09%	0	-9.9999
9	Connecticut	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"905,109"	58.06%	7	0.1734
9	Connecticut	2012	Willard Mitt Romney	Paul Ryan	Republican	"634,899"	40.72%	0	-9.9999
10	Delaware	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"242,584"	58.61%	3	0.1863
10	Delaware	2012	Willard Mitt Romney	Paul Ryan	Republican	"165,484"	39.98%	0	-9.9999
11	District of Columbia	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"267,070"	90.91%	3	0.8363
11	District of Columbia	2012	Willard Mitt Romney	Paul Ryan	Republican	"21,381"	7.28%	0	-9.9999
12	Florida	2012	Barack H. Obama	"Joseph R. Biden, Jr."	Democratic	"4,237,756"	49.90%	29	0.0087
